instance_id,num_of_nodes,num_of_edges,ratio_node_edge,bi_edge,ratio_bi_edge,min_out_degree,max_out_degree,avg_out_degree,min_in_degree,max_in_degree,avg_in_degree,num_of_odd_out_degree,ratio_of_odd_out_degree,num_of_even_out_degree,ratio_of_even_out_degree,num_of_odd_in_degree,ratio_of_odd_in_degree,num_of_even_in_degree,ratio_of_even_in_degree,num_of_odd_degree,ratio_of_odd_degree,num_of_even_degree,ratio_of_even_degree,out_degree_less_than_3,ratio_out_degree_less_than_3,in_degree_less_than_3,ratio_in_degree_less_than_3,degree_less_than_3,ratio_degree_less_than_3,dfs_1st_back_depth,sum_of_choices_along_path,depth_avg_DFS_backjump,depth_back_to_root,depth_back_to_any,depth_one_path,min_depth_bfs,max_depth_bfs,avg_depth_bfs,min_depth_beam,max_depth_beam,avg_depth_beam
instrectL1412_4_12,168.0,616.0,0.2727,612.0,0.9935,2.0,4.0,3.6667,2.0,4.0,3.6667,48.0,0.2857,120.0,0.7143,48.0,0.2857,120.0,0.7143,8.0,0.0476,160.0,0.9524,4.0,0.0238,4.0,0.0238,0.0,0.0,5.0,21.0,95.2857,2.0,2.0,13.0,10.0,24.0,17.3571,10.0,24.0,17.3571
instrectL1412_4_19,168.0,616.0,0.2727,612.0,0.9935,2.0,4.0,3.6667,2.0,4.0,3.6667,48.0,0.2857,120.0,0.7143,48.0,0.2857,120.0,0.7143,8.0,0.0476,160.0,0.9524,4.0,0.0238,4.0,0.0238,0.0,0.0,1.0,5.0,81.6,2.0,2.0,13.0,11.0,24.0,17.5,11.0,24.0,17.5
instrectL1412_42_30,168.0,578.0,0.2907,536.0,0.9273,1.0,4.0,3.4405,2.0,4.0,3.4405,56.0,0.3333,112.0,0.6667,54.0,0.3214,114.0,0.6786,62.0,0.369,106.0,0.631,19.0,0.1131,20.0,0.119,0.0,0.0,1.0,4.0,84.5455,2.0,2.0,1.0,6.0,24.0,14.2857,4.0,24.0,12.7059
instrectL1412_48_24,168.0,572.0,0.2937,530.0,0.9266,1.0,4.0,3.4048,1.0,4.0,3.4048,62.0,0.369,106.0,0.631,60.0,0.3571,108.0,0.6429,50.0,0.2976,118.0,0.7024,19.0,0.1131,20.0,0.119,0.0,0.0,4.0,13.0,66.7692,2.0,2.0,1.0,5.0,24.0,14.5909,5.0,24.0,14.7826
instrectL1412_4_9,168.0,616.0,0.2727,612.0,0.9935,2.0,4.0,3.6667,2.0,4.0,3.6667,48.0,0.2857,120.0,0.7143,48.0,0.2857,120.0,0.7143,8.0,0.0476,160.0,0.9524,4.0,0.0238,4.0,0.0238,0.0,0.0,6.0,22.0,78.0,2.0,2.0,13.0,11.0,24.0,17.9231,11.0,24.0,17.9231
instrectL1412_52_32,168.0,568.0,0.2958,518.0,0.912,1.0,4.0,3.381,1.0,4.0,3.381,70.0,0.4167,98.0,0.5833,68.0,0.4048,100.0,0.5952,54.0,0.3214,114.0,0.6786,17.0,0.1012,18.0,0.1071,0.0,0.0,4.0,17.0,94.5,2.0,2.0,12.0,8.0,25.0,16.32,8.0,25.0,16.125
instrectL1412_58_12,168.0,562.0,0.2989,504.0,0.8968,1.0,4.0,3.3452,1.0,4.0,3.3452,68.0,0.4048,100.0,0.5952,60.0,0.3571,108.0,0.6429,74.0,0.4405,94.0,0.5595,21.0,0.125,25.0,0.1488,0.0,0.0,7.0,23.0,83.2308,2.0,2.0,17.0,3.0,24.0,14.5455,8.0,24.0,15.8276
instrectL1412_58_20,168.0,562.0,0.2989,508.0,0.9039,1.0,4.0,3.3452,1.0,4.0,3.3452,76.0,0.4524,92.0,0.5476,74.0,0.4405,94.0,0.5595,72.0,0.4286,96.0,0.5714,17.0,0.1012,18.0,0.1071,0.0,0.0,8.0,27.0,86.6923,2.0,2.0,7.0,5.0,24.0,14.7576,5.0,24.0,14.6471
instrectL1412_58_36,168.0,562.0,0.2989,508.0,0.9039,1.0,4.0,3.3452,1.0,4.0,3.3452,62.0,0.369,106.0,0.631,64.0,0.381,104.0,0.619,62.0,0.369,106.0,0.631,24.0,0.1429,23.0,0.1369,0.0,0.0,8.0,28.0,73.5,2.0,2.0,13.0,2.0,24.0,14.0,2.0,24.0,15.0345
instrectL1412_6_11,168.0,614.0,0.2736,608.0,0.9902,2.0,4.0,3.6548,2.0,4.0,3.6548,48.0,0.2857,120.0,0.7143,48.0,0.2857,120.0,0.7143,12.0,0.0714,156.0,0.9286,5.0,0.0298,5.0,0.0298,0.0,0.0,8.0,29.0,82.5,2.0,2.0,13.0,11.0,24.0,17.9286,11.0,24.0,17.9286
instrectL1412_6_17,168.0,614.0,0.2736,608.0,0.9902,2.0,4.0,3.6548,2.0,4.0,3.6548,44.0,0.2619,124.0,0.7381,46.0,0.2738,122.0,0.7262,12.0,0.0714,156.0,0.9286,7.0,0.0417,6.0,0.0357,0.0,0.0,2.0,8.0,80.4,2.0,2.0,13.0,10.0,24.0,17.5,10.0,24.0,17.5
instrectL1412_6_18,168.0,614.0,0.2736,608.0,0.9902,2.0,4.0,3.6548,2.0,4.0,3.6548,46.0,0.2738,122.0,0.7262,42.0,0.25,126.0,0.75,12.0,0.0714,156.0,0.9286,6.0,0.0357,8.0,0.0476,0.0,0.0,1.0,5.0,94.4286,2.0,2.0,13.0,11.0,24.0,17.9231,11.0,24.0,17.9231
instrectL1412_6_23,168.0,614.0,0.2736,608.0,0.9902,2.0,4.0,3.6548,2.0,4.0,3.6548,48.0,0.2857,120.0,0.7143,50.0,0.2976,118.0,0.7024,10.0,0.0595,158.0,0.9405,5.0,0.0298,4.0,0.0238,0.0,0.0,1.0,5.0,89.8571,2.0,2.0,13.0,9.0,24.0,16.9333,9.0,24.0,16.9333
instrectL1412_62_30,168.0,558.0,0.3011,504.0,0.9032,1.0,4.0,3.3214,1.0,4.0,3.3214,66.0,0.3929,102.0,0.6071,68.0,0.4048,100.0,0.5952,60.0,0.3571,108.0,0.6429,24.0,0.1429,23.0,0.1369,0.0,0.0,3.0,13.0,80.8667,2.0,2.0,1.0,7.0,24.0,16.125,7.0,24.0,15.913
instrectL1412_6_32,168.0,614.0,0.2736,608.0,0.9902,2.0,4.0,3.6548,2.0,4.0,3.6548,48.0,0.2857,120.0,0.7143,48.0,0.2857,120.0,0.7143,12.0,0.0714,156.0,0.9286,5.0,0.0298,5.0,0.0298,0.0,0.0,4.0,16.0,80.4,2.0,2.0,13.0,11.0,24.0,17.6429,11.0,24.0,17.6429
instrectL1412_6_35,168.0,614.0,0.2736,608.0,0.9902,2.0,4.0,3.6548,2.0,4.0,3.6548,50.0,0.2976,118.0,0.7024,50.0,0.2976,118.0,0.7024,12.0,0.0714,156.0,0.9286,4.0,0.0238,4.0,0.0238,0.0,0.0,6.0,25.0,83.2,2.0,2.0,13.0,11.0,24.0,17.5,11.0,24.0,17.5
instrectL1412_6_36,168.0,614.0,0.2736,610.0,0.9935,2.0,4.0,3.6548,2.0,4.0,3.6548,48.0,0.2857,120.0,0.7143,46.0,0.2738,122.0,0.7262,8.0,0.0476,160.0,0.9524,5.0,0.0298,6.0,0.0357,0.0,0.0,3.0,13.0,87.0,2.0,2.0,13.0,11.0,24.0,17.9231,11.0,24.0,17.9231
instrectL1412_6_4,168.0,614.0,0.2736,608.0,0.9902,2.0,4.0,3.6548,2.0,4.0,3.6548,50.0,0.2976,118.0,0.7024,50.0,0.2976,118.0,0.7024,12.0,0.0714,156.0,0.9286,4.0,0.0238,4.0,0.0238,0.0,0.0,4.0,15.0,78.0,2.0,2.0,13.0,9.0,24.0,17.2857,9.0,24.0,17.2857
instrectL1412_64_33,168.0,556.0,0.3022,498.0,0.8957,1.0,4.0,3.3095,1.0,4.0,3.3095,62.0,0.369,106.0,0.631,78.0,0.4643,90.0,0.5357,72.0,0.4286,96.0,0.5714,27.0,0.1607,19.0,0.1131,0.0,0.0,1.0,4.0,89.0,2.0,2.0,1.0,3.0,24.0,14.3824,5.0,24.0,15.0625
instrectL1412_6_5,168.0,614.0,0.2736,608.0,0.9902,2.0,4.0,3.6548,2.0,4.0,3.6548,48.0,0.2857,120.0,0.7143,46.0,0.2738,122.0,0.7262,12.0,0.0714,156.0,0.9286,5.0,0.0298,6.0,0.0357,0.0,0.0,4.0,17.0,78.5,2.0,2.0,13.0,11.0,24.0,17.9286,11.0,24.0,17.9286
instrectL1412_6_6,168.0,614.0,0.2736,608.0,0.9902,2.0,4.0,3.6548,2.0,4.0,3.6548,46.0,0.2738,122.0,0.7262,48.0,0.2857,120.0,0.7143,12.0,0.0714,156.0,0.9286,6.0,0.0357,5.0,0.0298,0.0,0.0,4.0,14.0,84.5,2.0,2.0,13.0,11.0,24.0,17.9231,11.0,24.0,17.9231
instrectL1412_66_22,168.0,554.0,0.3032,496.0,0.8953,1.0,4.0,3.2976,1.0,4.0,3.2976,74.0,0.4405,94.0,0.5595,64.0,0.381,104.0,0.619,66.0,0.3929,102.0,0.6071,22.0,0.131,27.0,0.1607,0.0,0.0,1.0,4.0,67.4444,2.0,2.0,1.0,6.0,24.0,14.8889,4.0,24.0,14.6333
instrectL1412_66_9,168.0,554.0,0.3032,494.0,0.8917,1.0,4.0,3.2976,1.0,4.0,3.2976,68.0,0.4048,100.0,0.5952,78.0,0.4643,90.0,0.5357,64.0,0.381,104.0,0.619,25.0,0.1488,20.0,0.119,0.0,0.0,1.0,5.0,83.5769,2.0,2.0,14.0,1.0,24.0,13.4167,1.0,24.0,14.4375
instrectL1412_68_15,168.0,552.0,0.3043,490.0,0.8877,1.0,4.0,3.2857,1.0,4.0,3.2857,76.0,0.4524,92.0,0.5476,74.0,0.4405,94.0,0.5595,64.0,0.381,104.0,0.619,22.0,0.131,23.0,0.1369,0.0,0.0,3.0,9.0,81.4615,34.0,3.0,1.0,4.0,24.0,14.6552,4.0,24.0,15.5926
instrectL1412_68_27,168.0,552.0,0.3043,488.0,0.8841,2.0,4.0,3.2857,1.0,4.0,3.2857,74.0,0.4405,94.0,0.5595,70.0,0.4167,98.0,0.5833,78.0,0.4643,90.0,0.5357,23.0,0.1369,25.0,0.1488,0.0,0.0,3.0,10.0,81.5333,2.0,2.0,3.0,6.0,26.0,15.2667,6.0,26.0,15.3333
instrectL1412_72_8,168.0,548.0,0.3066,478.0,0.8723,1.0,4.0,3.2619,1.0,4.0,3.2619,72.0,0.4286,96.0,0.5714,74.0,0.4405,94.0,0.5595,78.0,0.4643,90.0,0.5357,26.0,0.1548,25.0,0.1488,0.0,0.0,1.0,4.0,66.6429,2.0,2.0,12.0,4.0,24.0,14.3929,4.0,24.0,15.6667
instrectL1412_8_0,168.0,612.0,0.2745,604.0,0.9869,2.0,4.0,3.6429,2.0,4.0,3.6429,44.0,0.2619,124.0,0.7381,48.0,0.2857,120.0,0.7143,16.0,0.0952,152.0,0.9048,8.0,0.0476,6.0,0.0357,0.0,0.0,3.0,13.0,73.6667,2.0,2.0,13.0,2.0,24.0,14.1,2.0,24.0,16.9333
instrectL1412_8_19,168.0,612.0,0.2745,604.0,0.9869,2.0,4.0,3.6429,2.0,4.0,3.6429,46.0,0.2738,122.0,0.7262,46.0,0.2738,122.0,0.7262,16.0,0.0952,152.0,0.9048,7.0,0.0417,7.0,0.0417,0.0,0.0,2.0,8.0,86.5,2.0,2.0,13.0,11.0,24.0,16.7778,11.0,24.0,16.7778
instrectL1412_8_21,168.0,612.0,0.2745,604.0,0.9869,2.0,4.0,3.6429,2.0,4.0,3.6429,50.0,0.2976,118.0,0.7024,50.0,0.2976,118.0,0.7024,16.0,0.0952,152.0,0.9048,5.0,0.0298,5.0,0.0298,0.0,0.0,5.0,19.0,80.8571,2.0,2.0,13.0,10.0,24.0,17.25,10.0,24.0,17.375
instrectL1412_8_23,168.0,612.0,0.2745,604.0,0.9869,2.0,4.0,3.6429,2.0,4.0,3.6429,48.0,0.2857,120.0,0.7143,48.0,0.2857,120.0,0.7143,16.0,0.0952,152.0,0.9048,6.0,0.0357,6.0,0.0357,0.0,0.0,1.0,5.0,80.4,2.0,2.0,13.0,10.0,24.0,17.2,10.0,24.0,17.2
instrectL1412_8_37,168.0,612.0,0.2745,604.0,0.9869,2.0,4.0,3.6429,1.0,4.0,3.6429,44.0,0.2619,124.0,0.7381,46.0,0.2738,122.0,0.7262,16.0,0.0952,152.0,0.9048,8.0,0.0476,7.0,0.0417,0.0,0.0,1.0,5.0,85.1429,2.0,2.0,12.0,10.0,24.0,17.5,10.0,24.0,17.5
instrectL1412_8_6,168.0,612.0,0.2745,604.0,0.9869,2.0,4.0,3.6429,2.0,4.0,3.6429,46.0,0.2738,122.0,0.7262,48.0,0.2857,120.0,0.7143,16.0,0.0952,152.0,0.9048,7.0,0.0417,6.0,0.0357,0.0,0.0,11.0,43.0,80.4,2.0,2.0,13.0,4.0,24.0,16.0,4.0,24.0,16.0
instrectL4_0_0,192.0,712.0,0.2697,712.0,1.0,2.0,4.0,3.7083,2.0,4.0,3.7083,48.0,0.25,144.0,0.75,48.0,0.25,144.0,0.75,0.0,0.0,192.0,1.0,4.0,0.0208,4.0,0.0208,0.0,0.0,6.0,20.0,95.6,2.0,2.0,17.0,11.0,26.0,18.2941,11.0,26.0,18.2941
instrectL4_0_4,192.0,712.0,0.2697,712.0,1.0,2.0,4.0,3.7083,2.0,4.0,3.7083,48.0,0.25,144.0,0.75,48.0,0.25,144.0,0.75,0.0,0.0,192.0,1.0,4.0,0.0208,4.0,0.0208,0.0,0.0,3.0,12.0,95.6,2.0,2.0,17.0,11.0,26.0,18.2941,11.0,26.0,18.2941
instrectL4_0_5,192.0,712.0,0.2697,712.0,1.0,2.0,4.0,3.7083,2.0,4.0,3.7083,48.0,0.25,144.0,0.75,48.0,0.25,144.0,0.75,0.0,0.0,192.0,1.0,4.0,0.0208,4.0,0.0208,0.0,0.0,8.0,33.0,95.6,2.0,2.0,17.0,11.0,26.0,18.2941,11.0,26.0,18.2941
instrectL4_0_7,192.0,712.0,0.2697,712.0,1.0,2.0,4.0,3.7083,2.0,4.0,3.7083,48.0,0.25,144.0,0.75,48.0,0.25,144.0,0.75,0.0,0.0,192.0,1.0,4.0,0.0208,4.0,0.0208,0.0,0.0,1.0,5.0,95.6,2.0,2.0,17.0,11.0,26.0,18.2941,11.0,26.0,18.2941
instrectL4_0_9,192.0,712.0,0.2697,712.0,1.0,2.0,4.0,3.7083,2.0,4.0,3.7083,48.0,0.25,144.0,0.75,48.0,0.25,144.0,0.75,0.0,0.0,192.0,1.0,4.0,0.0208,4.0,0.0208,0.0,0.0,2.0,8.0,95.6,2.0,2.0,17.0,11.0,26.0,18.2941,11.0,26.0,18.2941
instrectL4_1_0,176.0,647.0,0.272,646.0,0.9985,2.0,4.0,3.6761,2.0,4.0,3.6761,45.0,0.2557,131.0,0.7443,45.0,0.2557,131.0,0.7443,2.0,0.0114,174.0,0.9886,6.0,0.0341,6.0,0.0341,0.0,0.0,2.0,9.0,96.0,2.0,2.0,17.0,11.0,24.0,17.3529,11.0,24.0,17.3529
instrectL4_10_8,192.0,702.0,0.2735,692.0,0.9858,2.0,4.0,3.6563,2.0,4.0,3.6563,52.0,0.2708,140.0,0.7292,50.0,0.2604,142.0,0.7396,20.0,0.1042,172.0,0.8958,7.0,0.0365,8.0,0.0417,0.0,0.0,2.0,8.0,103.3333,2.0,2.0,17.0,7.0,26.0,16.8636,7.0,26.0,16.8636
instrectL4_11_0,176.0,637.0,0.2763,626.0,0.9827,1.0,4.0,3.6193,1.0,4.0,3.6193,49.0,0.2784,127.0,0.7216,51.0,0.2898,125.0,0.7102,22.0,0.125,154.0,0.875,9.0,0.0511,8.0,0.0455,0.0,0.0,1.0,5.0,84.6667,8.0,3.0,17.0,11.0,24.0,17.3333,11.0,24.0,17.3333
instrectL4_1_11,176.0,647.0,0.272,646.0,0.9985,2.0,4.0,3.6761,2.0,4.0,3.6761,47.0,0.267,129.0,0.733,45.0,0.2557,131.0,0.7443,2.0,0.0114,174.0,0.9886,5.0,0.0284,6.0,0.0341,0.0,0.0,9.0,37.0,92.4,2.0,2.0,17.0,11.0,24.0,17.3529,11.0,24.0,17.3529
instrectL4_11_1,176.0,637.0,0.2763,626.0,0.9827,2.0,4.0,3.6193,2.0,4.0,3.6193,53.0,0.3011,123.0,0.6989,57.0,0.3239,119.0,0.6761,18.0,0.1023,158.0,0.8977,7.0,0.0398,5.0,0.0284,0.0,0.0,2.0,9.0,90.3333,2.0,2.0,17.0,9.0,24.0,16.8889,9.0,24.0,16.8889
instrectL4_11_10,176.0,637.0,0.2763,626.0,0.9827,2.0,4.0,3.6193,2.0,4.0,3.6193,51.0,0.2898,125.0,0.7102,51.0,0.2898,125.0,0.7102,22.0,0.125,154.0,0.875,8.0,0.0455,8.0,0.0455,0.0,0.0,1.0,5.0,91.8333,2.0,2.0,17.0,3.0,24.0,16.2632,3.0,24.0,16.2632
instrectL4_11_16,176.0,637.0,0.2763,626.0,0.9827,1.0,4.0,3.6193,2.0,4.0,3.6193,55.0,0.3125,121.0,0.6875,53.0,0.3011,123.0,0.6989,22.0,0.125,154.0,0.875,6.0,0.0341,7.0,0.0398,0.0,0.0,5.0,19.0,89.2,2.0,2.0,17.0,11.0,24.0,16.5238,11.0,24.0,16.5238
instrectL4_11_18,176.0,637.0,0.2763,626.0,0.9827,2.0,4.0,3.6193,2.0,4.0,3.6193,51.0,0.2898,125.0,0.7102,53.0,0.3011,123.0,0.6989,20.0,0.1136,156.0,0.8864,8.0,0.0455,7.0,0.0398,0.0,0.0,4.0,17.0,55.5,2.0,2.0,17.0,11.0,24.0,16.7368,11.0,24.0,16.7368
instrectL4_11_2,176.0,637.0,0.2763,626.0,0.9827,2.0,4.0,3.6193,2.0,4.0,3.6193,51.0,0.2898,125.0,0.7102,53.0,0.3011,123.0,0.6989,22.0,0.125,154.0,0.875,8.0,0.0455,7.0,0.0398,0.0,0.0,2.0,8.0,83.4286,2.0,2.0,17.0,3.0,24.0,16.2105,3.0,24.0,16.2105
instrectL4_1_15,176.0,647.0,0.272,646.0,0.9985,2.0,4.0,3.6761,2.0,4.0,3.6761,47.0,0.267,129.0,0.733,47.0,0.267,129.0,0.733,2.0,0.0114,174.0,0.9886,5.0,0.0284,5.0,0.0284,0.0,0.0,3.0,12.0,96.5,2.0,2.0,17.0,11.0,24.0,17.3529,11.0,24.0,17.3529
instrectL4_11_5,176.0,637.0,0.2763,626.0,0.9827,2.0,4.0,3.6193,2.0,4.0,3.6193,55.0,0.3125,121.0,0.6875,53.0,0.3011,123.0,0.6989,18.0,0.1023,158.0,0.8977,6.0,0.0341,7.0,0.0398,0.0,0.0,1.0,5.0,96.8,2.0,2.0,17.0,9.0,24.0,16.619,9.0,24.0,16.619
instrectL4_1_16,176.0,647.0,0.272,646.0,0.9985,2.0,4.0,3.6761,2.0,4.0,3.6761,45.0,0.2557,131.0,0.7443,45.0,0.2557,131.0,0.7443,2.0,0.0114,174.0,0.9886,6.0,0.0341,6.0,0.0341,0.0,0.0,1.0,5.0,92.4,2.0,2.0,17.0,11.0,24.0,17.3529,11.0,24.0,17.3529
instrectL4_1_17,176.0,647.0,0.272,646.0,0.9985,2.0,4.0,3.6761,2.0,4.0,3.6761,47.0,0.267,129.0,0.733,47.0,0.267,129.0,0.733,2.0,0.0114,174.0,0.9886,5.0,0.0284,5.0,0.0284,0.0,0.0,5.0,21.0,78.8,2.0,2.0,17.0,11.0,24.0,17.3529,11.0,24.0,17.3529
instrectL4_1_19,176.0,647.0,0.272,646.0,0.9985,2.0,4.0,3.6761,2.0,4.0,3.6761,47.0,0.267,129.0,0.733,47.0,0.267,129.0,0.733,2.0,0.0114,174.0,0.9886,5.0,0.0284,5.0,0.0284,0.0,0.0,1.0,5.0,92.4,2.0,2.0,17.0,11.0,24.0,17.3529,11.0,24.0,17.3529
instrectL4_11_9,176.0,637.0,0.2763,626.0,0.9827,1.0,4.0,3.6193,2.0,4.0,3.6193,49.0,0.2784,127.0,0.7216,49.0,0.2784,127.0,0.7216,18.0,0.1023,158.0,0.8977,9.0,0.0511,9.0,0.0511,0.0,0.0,7.0,28.0,84.125,2.0,2.0,17.0,9.0,24.0,16.7895,9.0,24.0,16.7895
instrectL4_1_2,176.0,647.0,0.272,646.0,0.9985,2.0,4.0,3.6761,2.0,4.0,3.6761,47.0,0.267,129.0,0.733,47.0,0.267,129.0,0.733,2.0,0.0114,174.0,0.9886,5.0,0.0284,5.0,0.0284,0.0,0.0,3.0,12.0,92.4,2.0,2.0,17.0,11.0,24.0,17.3529,11.0,24.0,17.3529
instrectL4_12_6,192.0,700.0,0.2743,688.0,0.9829,2.0,4.0,3.6458,1.0,4.0,3.6458,54.0,0.2813,138.0,0.7188,60.0,0.3125,132.0,0.6875,24.0,0.125,168.0,0.875,7.0,0.0365,4.0,0.0208,0.0,0.0,3.0,12.0,95.4286,2.0,2.0,16.0,11.0,26.0,18.1667,11.0,26.0,18.1667
instrectL4_1_3,176.0,647.0,0.272,646.0,0.9985,2.0,4.0,3.6761,2.0,4.0,3.6761,47.0,0.267,129.0,0.733,47.0,0.267,129.0,0.733,2.0,0.0114,174.0,0.9886,5.0,0.0284,5.0,0.0284,0.0,0.0,3.0,12.0,92.4,2.0,2.0,17.0,11.0,24.0,17.3529,11.0,24.0,17.3529
instrectL4_1_4,176.0,647.0,0.272,646.0,0.9985,2.0,4.0,3.6761,2.0,4.0,3.6761,45.0,0.2557,131.0,0.7443,45.0,0.2557,131.0,0.7443,2.0,0.0114,174.0,0.9886,6.0,0.0341,6.0,0.0341,0.0,0.0,2.0,9.0,77.5,2.0,2.0,17.0,11.0,24.0,17.3529,11.0,24.0,17.3529
instrectL4_14_5,192.0,698.0,0.2751,686.0,0.9828,2.0,4.0,3.6354,2.0,4.0,3.6354,60.0,0.3125,132.0,0.6875,60.0,0.3125,132.0,0.6875,22.0,0.1146,170.0,0.8854,5.0,0.026,5.0,0.026,0.0,0.0,2.0,9.0,105.875,2.0,2.0,17.0,11.0,26.0,17.6316,11.0,26.0,17.6316
instrectL4_14_8,192.0,698.0,0.2751,686.0,0.9828,2.0,4.0,3.6354,2.0,4.0,3.6354,56.0,0.2917,136.0,0.7083,56.0,0.2917,136.0,0.7083,22.0,0.1146,170.0,0.8854,7.0,0.0365,7.0,0.0365,0.0,0.0,1.0,5.0,82.0,2.0,2.0,17.0,3.0,26.0,16.8182,3.0,26.0,16.8182
instrectL4_14_9,192.0,698.0,0.2751,684.0,0.9799,1.0,4.0,3.6354,2.0,4.0,3.6354,60.0,0.3125,132.0,0.6875,54.0,0.2813,138.0,0.7188,26.0,0.1354,166.0,0.8646,5.0,0.026,8.0,0.0417,0.0,0.0,1.0,5.0,80.5,2.0,2.0,17.0,11.0,26.0,18.3158,11.0,26.0,18.4211
instrectL4_1_6,176.0,647.0,0.272,646.0,0.9985,2.0,4.0,3.6761,2.0,4.0,3.6761,45.0,0.2557,131.0,0.7443,45.0,0.2557,131.0,0.7443,2.0,0.0114,174.0,0.9886,6.0,0.0341,6.0,0.0341,0.0,0.0,4.0,16.0,80.5,2.0,2.0,17.0,2.0,24.0,16.6111,2.0,24.0,16.6111
instrectL4_16_1,192.0,696.0,0.2759,680.0,0.977,2.0,4.0,3.625,2.0,4.0,3.625,58.0,0.3021,134.0,0.6979,56.0,0.2917,136.0,0.7083,32.0,0.1667,160.0,0.8333,7.0,0.0365,8.0,0.0417,0.0,0.0,1.0,5.0,103.4286,2.0,2.0,17.0,8.0,26.0,17.9545,8.0,26.0,17.9545
instrectL4_16_4,192.0,696.0,0.2759,680.0,0.977,2.0,4.0,3.625,2.0,4.0,3.625,52.0,0.2708,140.0,0.7292,58.0,0.3021,134.0,0.6979,28.0,0.1458,164.0,0.8542,10.0,0.0521,7.0,0.0365,0.0,0.0,3.0,10.0,100.7143,2.0,2.0,12.0,4.0,26.0,15.3846,4.0,26.0,16.64
instrectL4_16_6,192.0,696.0,0.2759,680.0,0.977,2.0,4.0,3.625,2.0,4.0,3.625,60.0,0.3125,132.0,0.6875,56.0,0.2917,136.0,0.7083,28.0,0.1458,164.0,0.8542,6.0,0.0313,8.0,0.0417,0.0,0.0,4.0,16.0,98.2857,2.0,2.0,17.0,3.0,26.0,17.0952,3.0,26.0,17.0952
instrectL4_16_8,192.0,696.0,0.2759,680.0,0.977,2.0,4.0,3.625,2.0,4.0,3.625,52.0,0.2708,140.0,0.7292,56.0,0.2917,136.0,0.7083,28.0,0.1458,164.0,0.8542,10.0,0.0521,8.0,0.0417,0.0,0.0,1.0,5.0,98.75,2.0,2.0,17.0,7.0,26.0,16.95,7.0,26.0,17.05
instrectL4_1_7,176.0,647.0,0.272,646.0,0.9985,2.0,4.0,3.6761,2.0,4.0,3.6761,47.0,0.267,129.0,0.733,47.0,0.267,129.0,0.733,2.0,0.0114,174.0,0.9886,5.0,0.0284,5.0,0.0284,0.0,0.0,2.0,8.0,100.5,2.0,2.0,17.0,11.0,24.0,17.3529,11.0,24.0,17.3529
instrectL4_1_8,176.0,647.0,0.272,646.0,0.9985,2.0,4.0,3.6761,2.0,4.0,3.6761,47.0,0.267,129.0,0.733,47.0,0.267,129.0,0.733,2.0,0.0114,174.0,0.9886,5.0,0.0284,5.0,0.0284,0.0,0.0,4.0,16.0,92.4,2.0,2.0,17.0,11.0,24.0,17.3529,11.0,24.0,17.3529
instrectL4_18_4,192.0,694.0,0.2767,676.0,0.9741,2.0,4.0,3.6146,2.0,4.0,3.6146,62.0,0.3229,130.0,0.6771,60.0,0.3125,132.0,0.6875,30.0,0.1563,162.0,0.8438,6.0,0.0313,7.0,0.0365,0.0,0.0,9.0,32.0,107.25,2.0,2.0,17.0,5.0,26.0,16.6522,5.0,26.0,16.6522
instrectL4_18_8,192.0,694.0,0.2767,678.0,0.9769,2.0,4.0,3.6146,2.0,4.0,3.6146,54.0,0.2813,138.0,0.7188,60.0,0.3125,132.0,0.6875,24.0,0.125,168.0,0.875,10.0,0.0521,7.0,0.0365,0.0,0.0,1.0,5.0,87.1667,2.0,2.0,17.0,7.0,26.0,16.2308,7.0,26.0,16.2308
instrectL4_20_4,192.0,692.0,0.2775,672.0,0.9711,2.0,4.0,3.6042,2.0,4.0,3.6042,60.0,0.3125,132.0,0.6875,60.0,0.3125,132.0,0.6875,38.0,0.1979,154.0,0.8021,8.0,0.0417,8.0,0.0417,0.0,0.0,5.0,18.0,104.7,2.0,2.0,7.0,2.0,26.0,17.3,2.0,26.0,17.3
instrectL4_20_5,192.0,692.0,0.2775,672.0,0.9711,2.0,4.0,3.6042,2.0,4.0,3.6042,60.0,0.3125,132.0,0.6875,58.0,0.3021,134.0,0.6979,32.0,0.1667,160.0,0.8333,8.0,0.0417,9.0,0.0469,0.0,0.0,1.0,5.0,88.4444,2.0,2.0,2.0,6.0,26.0,17.1905,6.0,26.0,17.1905
instrectL4_20_6,192.0,692.0,0.2775,672.0,0.9711,2.0,4.0,3.6042,2.0,4.0,3.6042,60.0,0.3125,132.0,0.6875,54.0,0.2813,138.0,0.7188,34.0,0.1771,158.0,0.8229,8.0,0.0417,11.0,0.0573,0.0,0.0,3.0,11.0,92.25,2.0,2.0,17.0,3.0,26.0,17.2105,3.0,26.0,17.2105
instrectL4_2_1,192.0,710.0,0.2704,708.0,0.9972,2.0,4.0,3.6979,2.0,4.0,3.6979,48.0,0.25,144.0,0.75,48.0,0.25,144.0,0.75,4.0,0.0208,188.0,0.9792,5.0,0.026,5.0,0.026,0.0,0.0,4.0,17.0,105.8571,2.0,2.0,17.0,11.0,26.0,18.5556,11.0,26.0,18.5556
